
ShowLevelAboveDesc			"Show Level Above"
ShowLevelBelowDesc			"Show Level Below"

LostMode				"Perdu"
LostDesc				"Lost is a difficulty option only for advanced players.\n\nLost characters have no sense of direction and\nno mapping skills, so they are always lost.\n\nCan you save the world when you can't even find\nyour way out of a square room with one door?"

SemiHardcoreMode			"Semi-Hardcore"
SemiHardcoreDesc			"Semi-Hardcore is a difficulty option only for advanced players.\n\nIn Semi-Hardcore, each death is very painful, but not necessarily\nthe end. Each time you die, you lose 5 base vitality. If your base\nvitality ever gets to 0 or below, then you are dead forever.\n\nCan you save the world when death is actually dangerous?"

AxeNameUniqueStarter			"Starter Axe"
BowNameUniqueStarter			"Starter Bow"
MaceNameUniqueStarter			"Starter Mace"
SwordNameUniqueStarter			"Starter Sword"
DaggerNameUniqueStarter			"Starter Dagger"
StaffNameUniqueStarter			"Starter Staff"

PrimaDonnaMode				"Prima Donna"
PrimaDonnaDesc				"Prima Donna is a difficulty option only for advanced players.\n\nPrima Donnas will not use any except set, elite, artifact,\nor legendary items.\n\nCan you save the world when you refuse to use anything but\nthe best?"

CantUsePrimaDonna			"Will not use (Prima Donna)"

OnlyHopeMode				"Only Hope"
OnlyHopeDesc				"Only Hope is a difficulty option only for advanced players.\n\nWith Only Hope set, towns are completely relying on you\nand if you die, the town is lost.\n\nCan you save a town when you only have one life?"

HungerMode				"Hunger"
HungerDesc				"Hunger is a difficulty option only for advanced players.\n\nPlayers with Hunger need to eat occasionally. If you\ndon't eat often enough, you will start starving, and then\ndie soon after.\n\nCan you save the world when you are distracted by hunger?"
Starving				"Mourant de faim"
PlayerStarving				"Vous êtes en train de mourir de faim !"
Hunger					"Faim"

Guard					"Guarde"
GuardDesc				"NOTE : les guardes ne sont pas sauvegardés et ne ressuscitent pas !"

Scar					"Scar"
Beastmaster				"Dresseur de bêtes"

DecreaseAttributeStrength		"^c008Left click to decrease Strength by 1^c141"
DecreaseAttributeDexterity		"^c008Left click to decrease Dexterity by 1^c141"
DecreaseAttributeVitality		"^c008Left click to decrease Vitality by 1^c141"
DecreaseAttributeIntelligence		"^c008Left click to decrease Intelligence by 1^c141"
DecreaseAttributeSpirit			"^c008Left click to decrease Spirit by 1^c141"

AntiMagic				"Anti-magie"
BlockedFromUsingSpells			"Ne peut pas utiliser de sorts"

// World modifiers

WorldModifierOnTheBrink			"On The Brink"
WorldModifierOnTheBrinkDesc		"On The Brink: The town starts on the brink of losing (missing apothecary and steward)."

WorldModifierDemandingTown		"Demanding Town"
WorldModifierDemandingTownDesc		"Demanding Town: This town gets much more upset about\nkilled NPCs and failed quests. Reputation loss is much\nhigher than normal."

WorldModifierAggressiveWorld		"Aggressive World"
WorldModifierAggressiveWorldDesc	"Aggressive World: Monsters are much more aggressive."

WorldModifierAntiMagic			"Anti-Magic"
WorldModifierAntiMagicDesc		"Anti-Magic: The dungeon has way more Anti-Magic areas than normal."

WorldModifierGigantism			"Gigantism"
WorldModifierGigantismDesc		"Gigantism: More giant monsters than normal."

WorldModifierFleetOfFoot		"Fleet of Foot"
WorldModifierFleetOfFootDesc		"Fleet of Foot: More speedy monsters than normal."

WorldModifierBerserk			"Berserk"
WorldModifierBerserkDesc		"Berserk: More berserker monsters than normal."

WorldModifierTemporalFlux		"Temporal Flux"
WorldModifierTemporalFluxDesc		"Temporal Flux: More pockets of Temporal Flux than normal.\nTemporal Flux slow down any projectiles that moves through them."

WorldModifierPoorTown			"Poor Town"
WorldModifierPoorTownDesc		"Poor Town: The people in this town don't have much money."

WorldModifierRichTown			"Rich Town"
WorldModifierRichTownDesc		"Rich Town: The people in this town have more money than usual."

WorldModifierGamblingTown		"Gambling Town"
WorldModifierGamblingTownDesc		"Gambling Town: The people in this town gamble more than usual."

WorldModifierSeedyTown			"Seedy Town"
WorldModifierSeedyTownDesc		"Seedy Town: The people in this town are more likely to turn to crime."

WorldModifierMiseryTown			"Misery Town"
WorldModifierMiseryTownDesc		"Misery Town: The people in this town tend to dwell on everyone's problems."

WorldModifierDrunkTown			"Drunk Town"
WorldModifierDrunkTownDesc		"Drunk Town: The people in this town drink more than usual."

WorldModifierHighUnemployment		"High Unemployment"
WorldModifierHighUnemploymentDesc	"High Unemployment: People in this town have less opportunities to make money."

WorldModifierReligiousTown		"Religious Town"
WorldModifierReligiousTownDesc		"Religious Town: The people here have more faith in Din than is usual."

WorldModifierSocialTown			"Social Town"
