
RarityNormal				"Normal"
RarityCommon				"Commun"
RarityUncommon				"Peu commun"
RarityRare				"Rare"
RarityVeryRare				"Très rare"
RaritySet				"Set"
RarityUnique				"Elite"
RarityArtifact				"Artefact"
RarityLegendary				"Légendaire"

EgoBasicName				"Egotiste"
EgoEnemyName				"d'ennemis"
EgoFriendName				"d'amiss"
EgoEnemyFormat				"Ego : ##1##% de dégâts à ##2##s"
EgoFriendFormat				"^c005Ego : ##1##% dégâts à ##2##s^c145"

ItemCursed				"^c005(Maudit)^c145"
ItemEgo					"^c001(Ego)^c145"

ItemCursedBonus				"Maudit : ##1##% pré-requis de niveau et d'attributs (level and attribute requirements)"
ItemEgoBonusWeapon			"Ego : ##1##% de bonus de dégâts"
ItemEgoBonusArmor			"Ego : ##1##% de bonus d'armure"
LowerRequirements			"Pré-requis de niveau et d'attribut ##1##% plus bas"
ItemCrystalBonusWeapon			"Cristal : ##1##% de bonus de dégâts, ^c005ne peut être réparé^c145"
ItemCrystalBonusArmor			"Cristal : ##1##% de bonus d'armure, ^c005ne peut être réparé^c145"
ItemObsidianBonusWeapon			"Obsidienne : ##1##% de bonus de dégâts, ^c005ne peut être réparé^c145"
ItemObsidianBonusArmor			"Obsidienne : ##1##% de bonus d'armure, ^c005ne peut être réparé^c145"

OnHitProcText				"##2##% de chance de jeter ##1## de niveau ##3## par coup réussi"
WhenHitProcText				"##2##% de chance de jeter ##1## de niveau ##3## quand touché"

BasicTypeClothArmor			"Tissu"
BasicTypeLeatherArmor			"Cuir"
BasicTypeMailArmor			"Mailles"
BasicTypePlateArmor			"Plaques"
BasicTypeDagger				"Dague"
BasicTypeAxe				"Hache"
BasicTypeAxeTwoHanded			"Hache à deux mains"
BasicTypeSword				Epée"
BasicTypeSwordTwoHanded			"Epée à deux mains"
BasicTypeMace				"Masse"
BasicTypeMaceTwoHanded			"Masse à deux mains"
BasicTypeStaff				"Bâton"
BasicTypeBow				"Arc"
BasicTypeShield				"Shield"
BasicTypeCape				"Cape"

PressSpaceOrRightClickToBuy		"Press space or right click to buy"
RightClickToGambleOn			"Right click to gamble on"
RightClickToIdentify			"Right click to identify"
RightClickToOpen			"Right click to open"
RightClickToLoot			"Right click to loot"
RightClickToUse				"Right click to use"
RightClickToEquip			"Right click to equip"

PressKeyToReadHistory			"Press H to read history"
ClickOrPressKeyToReadHistory		"Right click or press H to read history"
PressKeyOrDropOntoVendorToSell		"Press space or drag and\n  drop onto vendor to sell"

Rarity					"Rarity"
Type					"Type"
Unidentified				"Unidentified"
BasicType				"Basic Type"
ItemBroken				"BROKEN"
Twohanded				"Two-handed"
Speed					"Speed"
DamagePerSecond				"damage per second"
MinimumDamage				"minimum damage"
MaximumDamage				"maximum damage"
WeaponSpeed				"Weapon Speed"
Set					"Set"
MaxStack				"Max stack"
ReuseTime				"Reuse time"

GamblePrice				"Gamble price"
SellValue				"Sell value"
RepurchasePrice				"Repurchase price"
RetailValue				"Retail value"
RepairCost				"Repair cost"

GP					"GP"
SP					"SP"
CP					"CP"
GoldPiece				"Gold Piece"
SilverPiece				"Silver Piece"
CopperPiece				"Copper Piece"

