
// ##1## - player's name
// ##2## - NPC's name
// ##3## - town name

GenericIntro				"Bonjour, je m'appelle ##2##"

//
// Warmaster
//

WarmasterIntro				"Enchanté ##1##. Je suis le maitre de guerre de ##3##, ##2##. Je coordonne la defense contre les monstres au-dessous de nous."

WarmasterChat1-1			"Je n'ai pas de temps a perdre avec ceux de votre genre !"
WarmasterChat1-2			"Quoi ? Je ne suis pas sur d'avoir quelque chose que vous puissiez faire."
WarmasterChat1-3			"Toujours ici ?"
WarmasterChat1-4			"J'ai seulement besoin de combattants, alors allez-vous-en ! Huh ? Vous etes un combattant ? En etre-vous sur ?"
WarmasterChat1-5			"Par les dieux, vous etes ennuyeux."
WarmasterChat1-6			"Je ne vous prends que parce qu'il n'y a personne d'autre."

WarmasterChat2-1			"Je suis surpris que vous soyez parvenu aussi loin. Il y a peut-etre de l'espoir pour vous."
WarmasterChat2-2			"Beosin d'une mission ?"
WarmasterChat2-3			"Encore de retour ?"
WarmasterChat2-4			"Les attaques de la ville ne me genent pas. Ca me donne une chance de combattre !"
WarmasterChat2-5			"Peut-etre que vous etes juste ce dont ##3## a besoin pour survivre."
WarmasterChat2-6			"Si vous ne nous aidez pas, qui le fera ?"

WarmasterChat3-1			"J'ai exactement ce qu'il vous faut."
WarmasterChat3-2			"Je n'ai jamais doute des dieux."
WarmasterChat3-3			"Par les dieux, nous detruirons nos ennemis !"
WarmasterChat3-4			"Vous faites vraiment la difference."
WarmasterChat3-5			"Combattez bien, mon ami."
WarmasterChat3-6			"Nos ennemis ont de quoi craindre."

WarmasterChat6-1			"On se retrouve, ##1##."
WarmasterChat6-2			"J'ai besoin de volontaires !"
WarmasterChat6-3			"##1##, a la recherche d'une mission ?"
WarmasterChat6-4			"Loues soient les dieux ! Loues soient Din et Thaden !"
WarmasterChat6-5			"Je sens de la pluie dans l'air."
WarmasterChat6-6			"Deja de retour ?"
WarmasterChat6-7			"Etes-vous sur de pouvoir vous en charger, ##1##?"
WarmasterChat6-8			"Vous avez fait du bon travail."
WarmasterChat6-9			"Quoi donc maintenant ?"
WarmasterChat6-10			"Ne revenez pas avant d'etre couvert de sang. Le leur !"
WarmasterChat6-11			"Combattez bien !"
WarmasterChat6-12			"La victoire sera notre !"

//
// Apothecary
//

ApothecaryIntro				"Salut, la ! Z'etes nouveau ici ? M'appelle  ##2##. Je suis l'apothicaire de la ville. Je pourrais bien faire appel a vous pour trouver les ingredients dont j'ai besoin."

ApothecaryChat1-1			"Soyez pridents la-dehors."
ApothecaryChat1-2			"Etes-vous sur de vouloir aller la-dessous ?"
ApothecaryChat1-3			"Nous n'en pouvons plus d'attendre un heros.  J'imagine que vous allez devoir faire l'affaire."
ApothecaryChat1-4			"##3## est maudit, mais je ne veux pas partir."
ApothecaryChat1-5			"Riez pendant que vous pouvez.  La vie est courte."
ApothecaryChat1-6			"Notre situation ressemble a une blague cruelle."

ApothecaryChat2-1			"Je suis vraiment inquiet de n'avoir peut-etre pas les ressources pour enrayer la peste."	
ApothecaryChat2-2			"Vous avez l'air plus for qu'avant."
ApothecaryChat2-3			"Le danger se erre partout.  Soyez aux aguets."
