Reward				"Recompense"
Score					"Score"
QuestOptionalShort			"optionnelle"

// General

QuestSlotEmpty				"Emplacement de quete vide"
QuestCompleted				"(^c061accomplie^c145)"
QuestFailed				"(^c001echouee^c145)"
QuestSolved				"Résolu la quête ##1##"
QuestAccepted				"Accepte la quête ##1##"
Decline					"Décliner"
Close						"Fermer"
QuestXFailed				"Échoue dans la quête ##1##"
QuestSkipped				"Saute la quête ##1##"
QuestTitlePlayerInQuestLevel		"^c002*^c145"
QuestTextPartCompleted			"(accomplie)"

AnnounceQuestCompleted			"Quete accomplie"
AnnounceQuestFailed			"Quete echouee"

DiscoveredQuestLate			"Nous avons manque un indice et découvert un problème tardif !"

QuestTitleKillUniqueMonster		"Tuer ##1##"

QuestKilledMonster			"##1## a été tue."
QuestDestroyedObject			"##1## a été détruit."

QuestOptional				"Cette quête est optionnelle."

FailConditionsRescue			"Vous aller rater cette quête si le PNJ meurt !\n"
FailConditionsDelivery			"Vous allez rater cette quête si le PNJ meurt !\n"

QuestTitleMonsterQuestItem		"Trouver ##1## ##3## de ##2##"

Kill					"Tuer"
TimeLeft				"Temps restant"
KnownLocation				"Emplacement connu"
Location				"Emplacement"
QuestLevel				"Niveau de quête"
ProgressCompleted			"Avancement : ^c061accomplie^c000"

QuestArmorReward			"Armure de récompense déposée au sol"
QuestWeaponReward			"Arme de récompense déposée au sol"
QuestItemReward				"Objet de récompense déposé au sol"
QuestChestReward			"Coffre de récompense amene"

RandomArmorReward			"une pièce d'armure aléatoire"
RandomWeaponReward			"un arme aléatoire"

MonsterTypeAddition			" (un ##2##)"

TalkToMonster				"Parlez a ##1## a ##2## quand la quête sera accomplie.\n"
TalkToSpecificNpc			"Parlez a votre ##1## a ##2## quand la quête sera accomplie.\n"
TalkToRevenge				"Parlez a ##1## en ville quand la quête sera accomplie.\n"
TalkToNpcType				"Parlez a votre ##1## quand la quête sera accomplie.\n"

ItemQuestStartBad			"Le papier ne comprend que du charabia"

// Generic titles

QuestTitleLevelQuestItem		"Rassembler ##1## ##2##"

