
GoldStolen				"##1## volé"

LevelUnderLevel				"##1##"

durability				"Durabilité"
ItemAlmostBroken			"Objet presque cassé"
ItemWorn				"Objet usé"
ItemBroken				"Objet cassé"
DamagesItems				"Endommage les objets (Damages items)"

PowerName				"Mana"

HybridTree1				"Specialité 1"
HybridTree2				"Specialité 2"

StatChangePerAttribute			"##1## ##2## par point de ##3##"
MaxDamagePerAttribute			"##1##% ##2## par point de ##3##"

PickupToReduceExperiencePenaltyByHalf	"Pickup to reduce experience penalty by half"

// Class descriptions

WarriorDesc				"Warrior\n\nMuscle bound heroes employ brute force through almost any blunt or pointy object to demolish foolish foes."
WeaponMasterDesc			"Weaponmaster\n\nThis bruiser goes straight for the kill, an expert in various weapons."
GladiatorDesc				"Gladiator\n\nThis brawler eats foes for lunch, using the glamorous side of the class with rage and focus."
DefenderDesc				"Defender\n\nThis contender maximizes defensive gains, an expert of a variety of armor."

RogueDesc				"Rogue\n\nLiving by their own rules, this tricky class excels at stealthy deception, trap evasion, lock picking, and are lethal killing machines."
AssassinDesc				"Assassin\n\nThis vanquisher is a lethal killer, racking up huge amounts of damage."
TricksterDesc				"Trickster\n\nThis phantom traverses unseen, killing the unaware and avoiding fatal blows."
ThiefDesc				"Thief\n\nThis bandit's understanding of locks and traps keeps them safe while discovering shiny booty."

PriestDesc				"Priest\n\nBy the light of good, these holy warriors command more than strength and might, but also heal and bless themselves and others."
PaladinDesc				"Paladin\n\nThis guardian totes heavy armor with ease while using the power of the gods to maim the unjust."
HealerDesc				"Healer\n\nThis protector uses the healing gift to sustain themselves and sometimes others during battle."
ShamanDesc				"Shaman\n\nThis bestower of blessings chooses the best enhancement for different situations, always having an edge over the unworthy."

WizardDesc				"Wizard\n\nPowerful magic courses within the knowledge-seeking wizards who contain mastery of ice, fire, and other useful spells."
FireMageDesc				"Fire Mage\n\nThis flame specialist burns foes to ash using scorching fire magic."
IceMageDesc				"Ice Mage\n\nThis blizzard specialist freezes the life out of enemies using unrelenting ice magic."
MagicianDesc				"Magician\n\nThis champion has learned a variety of the arcane arts, and has many battle strategies hidden in belt pouches."

RangerDesc				"Ranger\n\nA jack of many trades, these lone fighters wield ranged weapons with skill, throw down deadly traps, and use shapeshifting to befuddle and decimate fearsome foes."
ArcherDesc				"Archer\n\nThis fighter employs a bow and speedy arrows aided by magic to thin the enemies number."
HunterDesc				"Hunter\n\nThis defender lays deadly traps, catching their foes off guard and insuring success."
DruidDesc				"Druid\n\nThis shapeshifter has the power of the earth to command, changing form and other magic to defeat the monsters of the deep."

ConjurerDesc				"Conjurer\n\nDark magic courses through steely veins. Mighty power rest in the palms of the conjurers including mastery of lightning, vile curses and diseases, calling forth demons from beyond and raising the dead as mindless slaves."
WarlockDesc				"Warlock\n\nThis mercenary has mastered monster magic, curses, and the summoning of demons to pit against anyone foolishly in the way."
NecromancerDesc				"Necromancer\n\nThis death reveler commands diseases and raises the dead to do its master's bidding."
SorcererDesc				"Sorcerer\n\nThis air specialist electrocutes foes with command over lightning and other magic."

HybridDesc				"Hybrid\n\nTwo skill trees from any class created this unique fighter. Having one less skill tree than pure classes is a small price to pay to become the ultimate hero."

// Classes

Warrior					"Guerrier"
Rogue					"Voleur"
Priest					"Prêtre"
Wizard					"Sorcier"
Ranger					"Ranger"
Conjurer				"Conjureur"

// Skill trees

SkillTreeWeaponMaster			"Weaponmaster"
SkillTreeGladiator			"Gladiator"
SkillTreeDefender			"Defender"
SkillTreeAssassin			"Assassin"
SkillTreeTrickster			"Trickster"
SkillTreeThief				"Thief"
SkillTreePaladin			"Paladin"
SkillTreeHealer				"Healer"
