
// General

QuestSlotEmpty				"Emplacement de quête vide"
QuestCompleted				"(^c061accomplie^c145)"
QuestFailed				"(^c001echouee^c145)"
QuestSolved				"Resolu la quete ##1##"
QuestAccepted				"Accepte la quete ##1##"
Decline					"Decliner"
Close						"Fermer"
QuestXFailed				"Echoue dans la quete ##1##"
QuestSkipped				"Saute la quete ##1##"
QuestTitlePlayerInQuestLevel		"^c002*^c145"
QuestTextPartCompleted			"(accomplie)"

AnnounceQuestCompleted			"Quete accomplie"
AnnounceQuestFailed			"Quete echouee"

DiscoveredQuestLate			"Nous avons manque un indice et decouvert un probleme tardif !"

QuestTitleKillUniqueMonster		"Tuer ##1##"

QuestKilledMonster			"##1## a ete tue."
QuestDestroyedObject			"##1## a ete detruit."

QuestOptional				"Cette quete est optionelle."

FailConditionsRescue			"Vous aller rater cette quete si le PNJ meurt !\n"
FailConditionsDelivery			"Vous allez rater cette quete si le PNJ meurt !\n"

QuestTitleMonsterQuestItem		"Trouver ##1## ##3## de ##2##"

Kill					"Tuer"
TimeLeft				"Temps restant"
KnownLocation				"Emplacement connu"
Location				"Emplacement"
QuestLevel				"Niveau de quete"
ProgressCompleted			"Avancement : ^c061completed^c000"

QuestArmorReward			"Armure de recompense deposee au sol"
QuestWeaponReward			"Arme de recompense deposee au sol"
QuestItemReward				"Objet de recompense depose au sol"
QuestChestReward			"Coffre de recompense amene"

RandomArmorReward			"une piece d'armure aleatoire"
RandomWeaponReward			"un arme aleatoire"

MonsterTypeAddition			" (un ##2##)"

TalkToMonster				"Parlez a ##1## a ##2## quand la quete sera accomplie.\n"
TalkToSpecificNpc			"Parlez a votre ##1## a ##2## quand la quete sera accomplie.\n"
TalkToRevenge				"Parlez a ##1## en ville quand la quete sera accomplie.\n"
TalkToNpcType				"Parlez a votre ##1## quand la quete sera accomplie.\n"

ItemQuestStartBad			"Le papier ne comprend que du charabia"

// Generic titles

QuestTitleLevelQuestItem		"Rassembler ##1## ##2##"

QuestItemPapersName			"Document secret"

// Progress

QuestProgressFailed			"Avancee : ^c001echec^c145\n"

QuestProgressKillMonsterFull		"##1## ##2## restent a tuer\n"
QuestProgressKillMonsterPartial		"Avancee : ##1## restent a tuer\n"

QuestProgressMonsterItemFull		"##1## ##3## de ##2## restent a trouver\n"
QuestProgressMonsterItemPartial		"Avancee : ##1## reste a trouver\n"

QuestProgressLevelItemFull		"##1## ##2## restent a trouver\n"
QuestProgressLevelItemPartial		"Avancee : ##1## reste a trouver\n"

QuestProgressMonsterGroupFull		"##1## monstre ##2## en groupe restent a tuer\n"
QuestProgressMonsterGroupPartial	"Avancee : ##1## monstre##2## en groupe restent a tuer\n"

QuestProgressClearLevel			"##1## monstre ##2## reste a tuer\n"

QuestProgressKillMonsterFull		"##1## ##2## restent a tuer\n"
QuestProgressKillMonsterPartial		"Avancee : ##1## reste a tuer\n"

// Specific text

// KillMonsters

QuestTitleKillMonsters			"Tuer ##1## ##2##"
QuestTextKillMonsters1			"Prouvez que vous etes digne d'etre un heros. Menez a bien cette tache."
QuestTextKillMonsters2			"Acceptez cette mission et prouvez votre courage."
QuestTextKillMonsters3			"Securisez la ville."
QuestTextKillMonsters4			"Nous devons nous venger !  Ils doivent mourir pour les vies qu'ils ont prises."
QuestTextKillMonsters5			"Les ##1## deviennent une enorme nuisance. Allez decimer leur nombre."

QuestTextKillMonstersDin1		"J'ai de quoi vous faire travailler et de continuer a vous laisser prouver votre valeur."

// Boss

QuestAnnounceBoss			"##1## est maintenant chef des ##2##"
QuestTitleBoss				"Tuer ##1## le chef"
QuestTextBoss				"##1## a pris les souterrains, allez tuer ##1##."
QuestEventOverthrowAttemptSucess	"##1## a renverse avec succes ##2##."
QuestEventOverthrowAttemptFailed	"##1## a echoue a renverser ##2##."

QuestTextBossDin1			"##1## a pris le souterrain. Plus important encore, la deesse Erillin a pris de linteret a ##1##. Ne sous-estimez pas Erillin. Elle gagne du pouvoir par ces instruments du mal. Allez tuer ##1##."
QuestTextBossDin2			"##1## a acquis enormement d'adeptes. Le dieu Hamlec manie ##1## se glorifie de la destruction. Hamlec ne doit pas reussir. Tuez ##1##."
QuestTextBossDin3			"##1## a pris le commandement des souterrains, avec l'aide du dieu Kracht. Kracht se delecte de la guerre et gagnera du pouvoir par l'intermediaire de ##1##. Vous devez arreter ca en tuant ##1##."
